p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
986.44,95.6,18.48,17.67,0.81,11.22,17.91,1179.41,3.11,4.25,21.37,16.23
986.81,94.9,18.01,17.09,0.92,10.85,17.32,1181.75,3.61,5,28.46,15.83
987.03,94.9,18.01,17.09,0.92,10.84,17.32,1182.02,2.85,4.5,20.17,15.83
987.51,94.4,18.26,17.23,1.02,10.93,17.45,1181.67,3.94,5.5,34.14,16.04
987.84,93.4,18.63,17.4,1.23,11.03,17.62,1180.69,3.56,4.63,39.74,16.36
988.26,88.9,19.83,17.63,2.2,11.17,17.84,1177.1,2.45,3.5,8.75,17.34
988.62,87.2,19.84,17.3,2.54,10.96,17.5,1177.64,3.7,5.25,35.56,17.35
988.36,86.1,20.37,17.54,2.83,11.11,17.75,1175.52,3.92,6.13,28.91,17.77
988.6,94.2,18.74,17.65,1.09,11.18,17.86,1181.12,5.02,6.5,25.08,16.45
988.74,95.4,18.16,17.33,0.84,10.97,17.53,1183.44,5.02,6.88,12.81,15.96
989.14,97.6,17.56,17.14,0.42,10.85,17.32,1186.18,4.42,5.63,20.35,15.43
989.81,98.5,17.41,17.15,0.26,10.85,17.33,1187.52,4.25,5.25,16.26,15.3
989.66,98.5,17.41,17.15,0.26,10.85,17.33,1187.34,1.92,3.25,23.79,15.3
989.46,96.7,17.56,16.98,0.58,10.74,17.16,1186.64,2.4,3.88,36.12,15.43
989.11,96.5,17.41,16.8,0.61,10.63,16.99,1186.83,0.83,2,14.64,15.3
989.1,95.8,17.19,16.47,0.72,10.42,16.65,1187.8,0.64,1,349.4,15.1
989.27,95.8,17.28,16.55,0.73,10.47,16.73,1187.63,2.62,3.88,42.45,15.18
989.6,89.1,18.63,16.6,2.03,10.5,16.78,1183.17,2.54,3.38,6.66,16.36
989.72,82.4,20.18,16.63,3.55,10.52,16.8,1178.17,3.1,4.63,40.85,17.62
989.3,68.44,23.1,15.81,7.29,10,15.98,1169.35,3.09,4.63,27.32,19.78
989.48,72.1,22.17,15.99,6.19,10.11,16.16,1172.13,2.38,3.63,52.49,19.12
989.69,72,22.48,16.19,6.29,10.24,16.35,1171.41,2.68,4.13,45.03,19.34
989.67,68.36,23.26,15.9,7.36,10.05,16.07,1169.31,2.85,4.13,15.53,19.89
989.76,69.03,22.69,15.66,7.03,9.9,15.83,1171.13,1.96,3.13,41.65,19.49
990.04,71.5,22.1,15.8,6.3,9.99,15.96,1173.08,1.02,1.63,45.32,19.07
990.8,81.7,19.28,15.76,3.53,9.95,15.9,1182.79,0.39,1.13,62.07,16.9
990.98,89.8,16.81,15.09,1.71,9.53,15.23,1192.15,0.09,0.38,130.7,14.75
990.75,93.5,15.23,14.24,0.99,8.99,14.37,1198.59,1.22,2,230.2,13.23
990.97,95.7,14.29,13.67,0.61,8.63,13.8,1203.19,0.21,0.5,66.07,12.26
991.2,98.2,13.18,12.94,0.24,8.16,13.06,1208.97,0.32,0.75,194.7,11.04
991.57,99.2,13.26,13.15,0.11,8.29,13.26,1208.95,0.49,1.63,200.6,11.13
992.15,98.6,14.46,14.25,0.2,8.99,14.37,1203.6,1.1,1.63,175.8,12.44
992,79.1,20.62,16.31,4.31,10.29,16.44,1179.67,1.42,2,148.6,17.96
991.83,59.77,25.16,15.04,10.12,9.48,15.16,1167.21,2.22,4,45.96,21.16
991.8,58.85,26.14,15.39,10.76,9.71,15.51,1164.53,2.15,4.13,36.73,21.79
991.44,56.84,27.37,15.55,11.81,9.82,15.69,1161.08,1.91,3.75,66.7,22.54
991.02,53.19,27.97,14.88,13.09,9.39,15.01,1159.47,1.54,2.63,14.53,22.9
990.9,50.09,29.62,14.84,14.78,9.37,14.97,1155.64,3.63,4.88,42.28,23.85
991.31,52.02,28.26,14.7,13.56,9.28,14.83,1159.22,2.03,3,21.33,23.07
991.7,63.18,24.1,15.22,8.87,9.6,15.35,1169.76,0.35,1,227.5,20.46
992.37,78.2,19.95,15.6,4.35,9.84,15.72,1182.54,0,0,0,17.44
992.43,83.8,17.66,14.8,2.86,9.33,14.91,1190.85,1.15,2.13,225.6,15.52
992.76,91.4,15.98,14.6,1.37,9.2,14.71,1197.77,0.58,1,217,13.97
992.91,92.3,15.08,13.92,1.16,8.76,14.02,1201.99,0.62,1.13,180.7,13.08
993,94.8,15.02,14.24,0.78,8.97,14.34,1202.2,0.26,0.75,208.2,13.02
993.41,83.4,17.94,14.97,2.98,9.42,15.06,1190.93,0.74,1.75,147.7,15.77
993.47,68.39,24.41,16.69,7.72,10.52,16.8,1170.36,0.81,1.5,152.3,20.67
993.41,64.02,27.38,17.53,9.85,11.05,17.65,1162.47,1.54,3.75,75.9,22.55
993.3,58.96,30.05,17.72,12.33,11.17,17.84,1156.24,1.17,3.25,295.8,24.09
992.94,56.92,30.74,17.5,13.24,11.03,17.62,1154.44,2.57,4.5,29.05,24.47
992.66,55,30.76,16.92,13.84,10.67,17.04,1154.33,1.91,4,69.86,24.48
992.1,52.88,32.68,17.28,15.4,10.91,17.42,1149.57,2.75,4.25,32.64,25.5
992.05,53.75,31.9,17.15,14.75,10.82,17.28,1151.16,1.93,3,23.22,25.09
992.73,58.91,28.36,16.71,11.65,10.54,16.83,1159.77,0.56,1.5,359.1,23.13
993.29,72.2,23.95,17.29,6.66,10.9,17.41,1171.11,0.06,0.38,60.1,20.36
993.74,77.6,21.37,16.58,4.79,10.45,16.69,1179.31,1.57,1.88,218,18.53
993.58,83.5,19.68,16.43,3.25,10.35,16.54,1184.51,1.92,2.63,231.7,17.22
993.74,90.1,18.04,16.25,1.79,10.23,16.35,1190.41,0.38,0.88,47.31,15.85
993.77,93.3,17.19,16.04,1.15,10.1,16.14,1193.63,1.01,1.38,211.4,15.1
994.09,90.1,17.96,16.18,1.78,10.19,16.27,1191.14,0.28,1,202.2,15.78
994.37,82.1,22.38,18.38,4.01,11.58,18.48,1176.28,1.15,1.88,157.7,19.27
994.03,71.5,28.31,20.24,8.07,12.76,20.36,1159.84,0.88,1.88,100.5,23.1
993.89,62.48,30.54,19.08,11.46,12.03,19.2,1155.28,2.2,3.75,51.88,24.36
993.57,57.27,31.69,18.15,13.54,11.44,18.27,1152.91,2.48,4.5,46.88,24.98
993.07,65.35,30.48,19.92,10.56,12.57,20.06,1154.07,1.08,2.5,154.7,24.33
993.44,78.6,23.16,18.2,4.96,11.48,18.32,1173.04,2.1,3.13,341.4,19.82
992.61,85.5,25.8,22.06,3.74,13.94,22.22,1163.37,0.75,1.5,176.6,21.57
992.84,77.5,26.05,20.19,5.86,12.75,20.33,1163.85,1.86,2.5,354.4,21.73
993.46,88,24.1,21.2,2.89,13.38,21.34,1169.16,0.03,0.25,216.1,20.46
993.62,94,22.34,21,1.34,13.25,21.13,1174.32,0,0,0,19.24
993.32,94.5,21.67,20.48,1.19,12.92,20.61,1176.17,0.49,1,54.13,18.75
993.12,90.6,21.72,19.68,2.04,12.42,19.82,1176.14,0.59,1.38,323.9,18.79
993.38,97.4,19.42,18.91,0.5,11.93,19.04,1184.01,0.19,0.75,299.7,17.01
993.23,98.4,18.8,18.5,0.3,11.67,18.63,1186.1,0.04,0.38,172.7,16.5
993.04,88.5,21.89,19.37,2.52,12.22,19.5,1175.69,1.15,2.13,143.6,18.91
993.05,80.2,25.75,20.65,5.1,13.04,20.79,1164.64,1.19,1.88,151,21.54
992.51,72.7,28.36,20.62,7.74,13.02,20.77,1157.77,2.51,4.63,65.57,23.13
991.6,61.51,31.09,19.12,11.97,12.08,19.29,1151.42,2.81,4.75,44.97,24.66
990.46,56.77,33,18.73,14.26,11.85,18.91,1146.41,2.17,3.5,65.59,25.66
989.56,55.23,33.51,18.51,15,11.72,18.7,1144.46,3.28,5.38,28.11,25.92
989.55,70.3,27.68,19.46,8.22,12.32,19.67,1156.37,3.41,5.75,30.02,22.73
989.87,69.61,26.89,18.72,8.17,11.85,18.91,1158.95,2.25,4.88,52.47,22.25
989.24,77,25.08,19.31,5.77,12.23,19.52,1162.43,1.23,2.25,301.6,21.11
989.81,86.1,23.64,20.35,3.29,12.89,20.56,1166.45,2.09,2.5,310.9,20.15
989.38,93.3,21.75,20.29,1.46,12.86,20.51,1171.31,1.02,2.13,282.4,18.81
989.2,96.6,20.59,19.89,0.7,12.6,20.11,1174.78,0.79,1.25,16.91,17.94
988.62,98.4,19.52,19.21,0.31,12.17,19.43,1177.83,0.81,1.38,353.9,17.09
988.69,99.1,18.72,18.55,0.17,11.75,18.76,1180.9,0.36,1,329.7,16.43
988.87,98.8,18.82,18.6,0.23,11.78,18.81,1180.73,0.41,1.13,339.8,16.52
988.68,84.9,22.19,18.84,3.35,11.94,19.05,1169.85,1.17,2.25,71.9,19.13
987.98,73.5,25.99,19.1,6.89,12.11,19.33,1158.75,1.34,2.88,43.27,21.69
987.59,63.67,30.48,19.41,11.07,12.32,19.65,1147.87,1.73,4,337.7,24.33
986.18,54.23,33.05,17.93,15.13,11.38,18.18,1141.66,2.98,4.38,36.08,25.69
985.3,48.38,34.65,16.77,17.89,10.65,17.02,1138.1,2.83,4.38,34.87,26.49
984.79,47.35,36.58,17.32,19.26,11.01,17.59,1133.78,1.92,3,41.87,27.41
984.28,51.03,34.65,17.68,16.97,11.25,17.97,1136.51,2.33,4.38,36.38,26.49
984.63,58.63,31.58,18.51,13.06,11.78,18.8,1142.54,1.51,2,349.1,24.92
985.14,70.3,27.22,19.13,8.08,12.17,19.42,1152.41,0.12,0.75,242.6,22.45
985.22,78.6,24.15,18.99,5.17,12.07,19.27,1160.22,1.16,1.88,165.4,20.5
985.05,83.9,22.47,18.85,3.62,11.99,19.13,1164.72,0.53,1.25,177.8,19.33
985.13,89.7,20.95,18.79,2.16,11.95,19.07,1169.32,0.59,1.88,48.75,18.21
984.93,90.2,20.11,18.14,1.97,11.53,18.41,1171.99,0.52,1,160.3,17.56
985.44,84.1,21.41,18.01,3.4,11.44,18.27,1168.64,1.04,2.13,154.7,18.56
985.69,77.3,23.89,18.47,5.42,11.74,18.73,1161.73,2.04,3.63,220.7,20.32
985.74,72.5,26.32,19.08,7.24,12.13,19.36,1155.29,1.85,3.25,237.2,21.9
985.84,67.79,28,18.98,9.02,12.07,19.26,1151.47,2.69,5,261.2,22.92
985.26,75.9,28.22,21.42,6.8,13.64,21.74,1149.2,0.93,1.88,114.2,23.05
984.44,65.29,28.84,18.83,10.01,11.99,19.13,1147.99,1.6,2.75,250.5,23.41
983.58,56.96,31.95,18.2,13.75,11.59,18.51,1140.68,1.42,4,27.41,25.12
983.34,56.1,31.35,17.59,13.76,11.2,17.89,1141.9,1.52,3.25,3.72,24.8
983.63,57.65,30.47,17.56,12.9,11.18,17.86,1144.09,0.9,2.5,250.5,24.32
984.47,61.91,25.64,15.87,9.77,10.09,16.12,1156.91,1.26,2.25,248.9,21.47
984.92,67.62,23.51,15.9,7.61,10.1,16.14,1163,1.36,1.75,317.3,20.06
985.42,81.9,19.79,16.21,3.58,10.3,16.45,1174.46,0.07,0.38,70.7,17.31
985.31,84.7,18.84,15.95,2.88,10.13,16.19,1177.61,0.34,0.75,222.1,16.53
985.18,83.7,18.15,15.19,2.96,9.65,15.42,1180.16,1.65,2.25,229.5,15.95
985.23,88.7,17.17,15.23,1.94,9.67,15.46,1183.77,0.67,1.25,139.7,15.08
985.31,84.1,19.09,16.05,3.04,10.2,16.29,1176.71,0.75,1.38,173.8,16.74
985.23,70.4,24.33,17.13,7.2,10.89,17.39,1160.59,1.15,2.5,115.9,20.62
984.84,50.21,27.9,14.01,13.89,8.9,14.23,1152.74,1.87,4.38,321.9,22.86
984.38,45.14,29.21,13.19,16.03,8.37,13.4,1149.61,1.85,5.38,292.4,23.62
983.57,41.37,30.52,12.63,17.89,8.02,12.84,1146.09,1.82,3.75,288.3,24.35
982.92,37.47,31.95,11.97,19.98,7.61,12.18,1142.66,1.92,5.88,346.5,25.12
982.23,36.79,32.67,12.02,20.65,7.65,12.23,1140.42,1.32,3,273.2,25.49
981.99,35.16,32.96,11.59,21.37,7.37,11.8,1139.76,0.99,2.5,1.35,25.64
981.96,50.38,26.55,13.37,13.17,8.52,13.62,1152.83,2.96,4.13,15.26,22.04
982.56,58.84,22.95,13.5,9.44,8.59,13.74,1162.81,0.2,0.75,358.2,19.67
982.98,68.45,19.57,13.39,6.17,8.52,13.63,1173.54,1.68,2.38,233.9,17.13
982.6,78.9,16.94,13.36,3.57,8.5,13.6,1182.3,1.22,1.88,217.6,14.87
982.13,83.9,15.65,13.13,2.52,8.36,13.37,1186.87,0.19,1,180.9,13.65
981.73,88.2,14.56,12.84,1.72,8.18,13.08,1191.08,1,1.63,206.1,12.55
981.62,83,16,13.28,2.72,8.46,13.53,1184.78,0.81,1.5,145.2,13.99
981.75,82.1,17.12,14.06,3.06,8.95,14.32,1180.26,0.67,1.25,217,15.04
981.99,69.32,23,15.95,7.06,10.16,16.24,1160.88,0.82,2.13,164.7,19.71
982.37,69.44,23.41,16.25,7.15,10.36,16.54,1160.08,2.12,3.75,268.7,19.99
982.53,78.6,22.05,17.33,4.72,11.05,17.64,1163.6,1.42,3.25,250.7,19.03
982.42,74,23.12,17.11,6.01,10.9,17.41,1160.55,2.2,5.5,267.2,19.79
981.77,68.62,24.71,16.96,7.75,10.81,17.27,1155.58,0.95,2.13,147.7,20.87
981.13,55.93,27.83,15.57,12.27,9.93,15.87,1147.84,1.44,2.5,260.3,22.82
980.93,67.28,24.93,16.77,8.16,10.7,17.1,1154.12,0.72,1.25,179.6,21.01
981.24,75.9,21.95,16.66,5.29,10.63,16.98,1162.64,0.15,0.75,142.3,18.96
982.22,92,16.79,15.45,1.34,9.84,15.73,1181.42,2.04,2.75,216.3,14.74
981.87,96.6,15.56,15.03,0.53,9.58,15.31,1186.05,1.5,2,180.1,13.56
981.33,98,14.92,14.62,0.3,9.32,14.9,1188.24,0.77,1.38,171.4,12.92
981.41,98.8,14.55,14.38,0.17,9.16,14.65,1190.03,1.07,1.75,200.5,12.54
981.75,99.2,14.27,14.15,0.11,9.02,14.42,1191.8,0.86,1.5,207.3,12.24
981.71,98.7,15.86,15.66,0.21,9.98,15.95,1184.33,0.64,2,128.1,13.86
981.24,74,21.53,15.93,5.6,10.16,16.24,1164.2,1.48,2.75,207.9,18.65
980.89,57.77,24.3,14.04,10.26,8.95,14.31,1156.91,5.08,7.63,218.1,20.6
979.92,53.97,25.62,13.83,11.79,8.82,14.11,1152.48,4.4,6.25,208.2,21.46
979.46,59.87,23.86,14.28,9.57,9.12,14.58,1156.29,3.72,6.38,233.5,20.3
980.19,82.6,17.64,14.57,3.07,9.3,14.86,1176.27,2.45,3.75,260.1,15.5
979.83,82.6,17.93,14.81,3.12,9.46,15.12,1174.66,2.83,4.5,199.6,15.76
979.9,75.9,19.69,14.95,4.75,9.54,15.25,1168.74,2.05,3,174,17.23
979.9,81.7,18.16,14.84,3.32,9.47,15.14,1173.92,1.74,2.38,211.1,15.96
980.4,78.5,17.47,13.71,3.76,8.75,13.99,1177.52,2.24,3.63,226.8,15.35
980.65,80,16.3,13.04,3.26,8.31,13.3,1182.52,1.74,2.5,278.6,14.28
980.4,82.6,14.4,11.89,2.51,7.58,12.13,1190.61,1.83,3.38,218.8,12.38
979.98,80.8,14.83,11.98,2.85,7.64,12.23,1188.18,2.93,4.88,221.3,12.83
979.8,79.1,15.11,11.95,3.16,7.62,12.2,1186.82,3.5,5.88,213.7,13.11
980.06,75.4,15.36,11.58,3.78,7.38,11.81,1186.27,4.42,5.25,204,13.36
980.12,74.5,16.56,12.34,4.22,7.87,12.59,1181.21,3.75,5.63,204.2,14.52
979.78,71.7,17.46,12.52,4.94,7.98,12.77,1177.36,5.57,7.88,206.6,15.34
979.51,63.58,19.65,12.5,7.16,7.97,12.76,1169.5,4.56,8,216,17.2
979.42,65.42,19.84,12.98,6.86,8.29,13.25,1168.57,4.82,7.25,215.5,17.35
979.41,67.6,19.97,13.5,6.47,8.62,13.78,1167.92,8.27,12,210.8,17.45
980.31,74.1,17.7,13.12,4.59,8.37,13.38,1176.83,2.62,4.75,280.3,15.56
981.25,78.7,17.4,13.69,3.71,8.73,13.96,1178.8,1.92,3.38,245.7,15.29
981.94,73.3,17.27,12.66,4.61,8.06,12.89,1180.6,2.63,4.75,243.1,15.17
982.98,85.7,14.97,12.83,2.14,8.16,13.05,1190.86,1.71,2.88,237.7,12.97
984.07,84.9,15.15,12.86,2.29,8.17,13.07,1191.43,1.55,2.75,2.36,13.15
984.45,83.9,14.87,12.48,2.39,7.92,12.67,1193.23,1.44,2.75,246.9,12.87
984.62,87.3,14.2,12.4,1.8,7.87,12.59,1196.4,1.59,3.25,255.2,12.17
984.65,87.9,13.72,12.06,1.66,7.66,12.25,1198.78,0.55,1.13,284.6,11.65
985.24,85.3,14.29,12.19,2.1,7.73,12.37,1196.88,0.65,1.38,210.2,12.26
985.85,73.2,16.5,12.08,4.42,7.66,12.25,1188.47,2.82,6.63,249.7,14.47
986.22,66.9,16.86,11.28,5.58,7.14,11.44,1187.92,2.94,5,240.6,14.8
986.53,63.46,17.22,10.93,6.29,6.92,11.08,1187.1,2.18,4.38,232,15.13
986.15,50.65,19.27,9.76,9.51,6.18,9.9,1179.97,4.51,7,253,16.89
985.82,47.31,20.02,9.47,10.55,6,9.61,1177.27,5.14,7.5,238.6,17.49
986,55.29,19.11,10.57,8.55,6.69,10.72,1179.95,2.8,5.38,253.4,16.76
985.68,49.61,19.56,9.7,9.85,6.14,9.84,1178.5,3.21,5.5,252,17.12
985.78,48.53,19.37,9.4,9.97,5.95,9.54,1179.36,1.37,2.88,243.4,16.97
985.93,57.69,17.26,9.95,7.3,6.3,10.1,1186.7,2.03,2.63,269.5,15.16
985.82,71.1,14.36,10.21,4.15,6.47,10.36,1198.16,1.31,1.75,228.3,12.34
985.98,77.8,14.6,11.36,3.24,7.2,11.52,1196.78,2.07,4.38,246.4,12.59
985.79,84.6,13.63,11.53,2.1,7.31,11.7,1200.84,0.17,0.5,216.6,11.55
985.64,87.1,13,11.33,1.68,7.18,11.49,1203.76,0.67,1.38,194.1,10.84
985.78,84.5,13.02,11,2.02,6.97,11.16,1203.99,0.16,0.75,219.9,10.86
985.65,85.4,13.63,11.64,1.99,7.38,11.81,1200.62,1.15,2.13,172,11.55
985.78,66.03,15.82,10.45,5.37,6.62,10.6,1191.83,4.81,7.63,212.4,13.82
985.55,60.39,17.07,10.31,6.76,6.53,10.46,1186.78,4.93,7.25,208.6,14.99
985.15,56.95,17.61,10.03,7.58,6.36,10.18,1184.4,6.67,10.13,206.6,15.48
984.8,56.46,18.05,10.19,7.86,6.46,10.35,1182.35,7.11,12,208.6,15.86
985.4,65.72,16.96,11.14,5.81,7.06,11.31,1186.62,2.85,5.63,234.9,14.89
985.83,66.31,15.68,10.4,5.28,6.59,10.55,1192.49,5.2,8.63,250.1,13.68
985.67,86.4,13.41,11.58,1.82,7.34,11.75,1201.73,4.03,6.25,202.8,11.3
985.79,90.6,13.37,12.12,1.26,7.68,12.29,1201.8,1.75,3,220.1,11.26
986.78,88,13.71,12.07,1.65,7.64,12.23,1201.43,3.27,6.75,253,11.64
987.73,90.3,13.36,12.07,1.3,7.63,12.22,1204.24,1.19,2.25,232.5,11.25
988.26,86.7,13.42,11.63,1.78,7.35,11.77,1204.83,1.82,3.38,257.8,11.31
988.4,88.5,12.7,11.24,1.46,7.11,11.37,1208.67,0.37,1,191.7,10.49
988.38,84.2,13.09,11.02,2.07,6.97,11.15,1206.83,1.24,2.38,229.9,10.94
988.44,84.1,13.55,11.4,2.15,7.2,11.53,1204.53,0.26,1,175.6,11.46
988.74,80,14.11,11.29,2.82,7.13,11.42,1202.37,1.75,2.75,219.3,12.07
989.16,75.3,14.97,11.27,3.7,7.12,11.39,1199.1,1.17,1.88,231.3,12.97
989.42,80,14.52,11.62,2.9,7.34,11.74,1201.19,2.64,3.75,212.5,12.51
988.62,67.23,17.5,11.77,5.74,7.44,11.9,1188.21,4.74,7.25,216.3,15.38
988.12,57.8,17.75,10.26,7.49,6.48,10.38,1187.39,3.34,4.88,217.9,15.6
988.44,75.7,16.02,12.13,3.89,7.67,12.27,1193.5,1.43,2.75,268.4,14.01
988.5,86.2,14.79,12.75,2.04,8.06,12.9,1198.37,1.47,2.63,231.1,12.79
989.08,87.9,13.6,11.95,1.65,7.55,12.08,1204.84,0.75,1.5,124.7,11.51
988.95,96.2,12.91,12.42,0.49,7.85,12.56,1207.78,0.19,0.63,163.6,10.73
989.15,97.4,12.93,12.59,0.34,7.96,12.73,1207.86,0.91,1.88,331.4,10.75
988.5,97.4,13.1,12.76,0.34,8.07,12.91,1206.13,1.35,2.38,185.3,10.95
988.1,98.2,13.22,12.98,0.24,8.21,13.14,1204.94,1.71,3.13,182,11.09
988.13,97,13.06,12.67,0.39,8.02,12.83,1205.89,0.54,1,201.6,10.91
988.01,97.7,13.27,12.96,0.31,8.2,13.12,1204.63,1.35,2.88,167.1,11.14
987.8,98.4,13.79,13.57,0.22,8.59,13.73,1201.64,1.61,2.5,168.8,11.72
987.42,90.8,16.66,15.13,1.53,9.59,15.32,1188.36,2.43,4.13,177.9,14.62
987.28,75.1,19.79,14.86,4.93,9.42,15.06,1177.31,3.88,5.38,201.7,17.31
986.64,65.78,21.59,14.2,7.39,9,14.39,1171.27,4.36,6.38,212,18.69
986.24,61.17,22.16,13.56,8.6,8.59,13.74,1169.4,4.53,6.25,221.9,19.11
985.42,60.07,23.42,14.07,9.35,8.93,14.28,1164.65,3.99,6.13,195.7,20
984.7,61.4,24.14,14.82,9.32,9.42,15.05,1161.51,2.52,4.38,193,20.49
984.24,61.04,23.64,14.43,9.21,9.17,14.66,1162.49,3.07,3.88,195.4,20.15
984.52,69.22,21.78,15.07,6.7,9.58,15.31,1167.79,2.37,3.5,194.6,18.83
984.52,70.3,20.46,14.39,6.08,9.14,14.61,1172.07,2.43,3.5,215.3,17.84
984.69,75.3,19.27,14.51,4.76,9.22,14.74,1176.06,2.98,3.88,211,16.89
985.09,81.3,19.02,15.46,3.56,9.82,15.69,1176.96,0.91,2.13,233.1,16.68
985.68,81.6,18.88,15.41,3.47,9.78,15.63,1178.14,1.08,1.5,243.6,16.57
986.33,85.3,17.27,14.73,2.54,9.34,14.93,1184.96,2.25,2.88,238.5,15.17
987.03,80.7,18.99,15.33,3.67,9.72,15.53,1179.43,0.75,1.5,158.1,16.66
987.06,72.9,22.28,16.25,6.04,10.3,16.46,1168.81,1.47,2.5,135.4,19.2
987.16,55.46,25.72,14.26,11.45,9.04,14.45,1160.61,2.4,4.25,221.9,21.52
986.72,52.31,28.31,14.81,13.5,9.39,15.01,1153.66,3.43,6.5,196.2,23.1
986.31,47.45,29.14,13.83,15.31,8.77,14.02,1151.75,4.84,7.25,208.7,23.58
986.39,52.49,28.88,15.16,13.72,9.61,15.37,1151.84,2.87,5.13,2.18,23.43
986.07,51.78,30.14,15.61,14.53,9.9,15.83,1148.51,2.61,4.63,12.82,24.14
985.99,52.17,30.74,16.04,14.7,10.18,16.26,1146.95,1.38,2.13,298.6,24.47
985.79,58.75,27.47,16.14,11.33,10.24,16.37,1153.93,1.5,2.63,23.4,22.6
986.38,69.38,24.1,16.72,7.38,10.61,16.95,1162.78,1.21,1.75,224.8,20.46
986,77,22.13,17.04,5.09,10.82,17.28,1167.63,0.65,1.5,12.37,19.09
985.5,85.7,19.95,17.1,2.85,10.86,17.35,1173.63,1.78,2.5,250.8,17.44
985.72,88.8,19.27,17.11,2.16,10.87,17.36,1176.11,1.15,1.88,248.5,16.89
985.91,92.5,18.66,17.26,1.4,10.96,17.5,1178.35,1.09,1.88,208.5,16.38
985.07,96.3,18.33,17.65,0.68,11.22,17.92,1178.3,2.54,3.75,155.2,16.1
986.07,90.1,19.95,17.98,1.98,11.42,18.23,1173.92,1.34,2,151,17.44
986.38,84,22.83,19.18,3.65,12.18,19.44,1165.12,0.47,1.25,193.7,19.59
986.29,70.6,26.53,18.73,7.8,11.9,18.99,1155.59,5.27,7.38,211.2,22.03
986.73,68.23,27.4,18.69,8.7,11.87,18.95,1154.05,5.26,7,214.2,22.56
987.26,70.9,26.42,18.73,7.69,11.89,18.97,1157.01,4.24,6.38,205.6,21.96
987.27,67.47,28.24,19.05,9.19,12.09,19.3,1152.58,3.63,5.25,205.7,23.06
986.94,65.74,29.33,19.28,10.05,12.24,19.54,1149.64,2.35,3.63,195.3,23.69
987.52,70,26.05,18.23,7.81,11.57,18.46,1158.44,2.29,3.63,257.5,21.73
987.56,79.9,23.62,18.88,4.75,11.97,19.11,1164.48,0.52,1.38,1.09,20.14
988.06,87.5,21.9,19.16,2.74,12.15,19.39,1169.81,0.32,1.13,145.5,18.92
988.4,90.7,20.63,18.71,1.92,11.86,18.93,1174.23,0.78,1.38,285.2,17.97
989.2,89.1,20.23,18.03,2.21,11.41,18.23,1176.75,0.98,1.88,197.6,17.66
989.45,91.8,19.57,17.96,1.6,11.37,18.15,1179.23,1.02,2.5,200.8,17.13
989.81,73.3,22.99,16.85,6.14,10.66,17.02,1169.81,4.66,7.13,199.1,19.7
990.61,88.2,20.76,18.31,2.45,11.58,18.49,1176.66,3.53,4.88,183.8,18.07
991.28,75.5,24.39,18.42,5.98,11.64,18.58,1167.03,3.84,5.75,192.1,20.66
991.29,67.23,25.86,17.38,8.47,10.98,17.54,1163.74,6.53,8.63,212.5,21.61
991.46,68.68,26.16,17.97,8.19,11.35,18.12,1162.93,5.6,7.75,210.6,21.8
991.89,72.4,25.61,18.54,7.07,11.71,18.69,1164.57,4.55,6.75,203.2,21.45
992.2,69.47,26.58,18.46,8.11,11.66,18.61,1162.56,4.55,6.63,207.8,22.06
991.93,60.46,29.83,18.04,11.8,11.39,18.18,1154.96,3.95,6.25,192.2,23.97
991.7,59.51,29.55,17.58,11.96,11.1,17.73,1155.51,4.84,6.5,215.6,23.81
992.24,67.82,25.89,17.56,8.33,11.08,17.7,1164.71,2.26,2.63,230.9,21.63
993.45,73.8,22.9,16.9,6,10.65,17.01,1174.36,2.94,3.38,243.6,19.64
994.32,84,20.17,16.94,3.23,10.67,17.04,1183.58,1.12,1.75,185.7,17.61
994.42,89.8,18.72,16.81,1.91,10.58,16.9,1188.59,1.2,1.63,196,16.43
994.86,94.5,17.36,16.4,0.95,10.32,16.49,1194.17,0.16,0.88,135.9,15.25
995.49,95.8,16.48,15.79,0.69,9.93,15.86,1198.53,0.82,1.25,217.6,14.45
996.04,92.7,17.21,15.95,1.26,10.02,16.02,1196.34,0.72,1,209.2,15.12
996.12,76.1,22.85,17.39,5.46,10.93,17.45,1177.47,0.83,1.63,150.9,19.6
996.01,59.37,27.57,16.37,11.2,10.28,16.43,1165.63,0.58,1.38,37.19,22.66
995.73,43.69,30.3,13.24,17.06,8.31,13.3,1160.52,1.24,2.5,322.6,24.23
995.23,42.5,31.9,13.56,18.34,8.52,13.62,1156.45,2.06,4.5,244.5,25.09
994.83,41.08,31.88,13.1,18.78,8.23,13.16,1156.23,1.52,2.88,354.2,25.08
994.16,38.58,34.17,13.18,20.99,8.29,13.26,1150.9,2.64,4.63,14.92,26.25
993.31,38.63,34.23,13.22,21.01,8.32,13.31,1149.78,1.41,2.5,352,26.28
992.88,42.85,30.37,13.02,17.36,8.19,13.11,1157.13,1.55,2.13,3.82,24.27
992.58,56.47,24.89,14.06,10.84,8.86,14.16,1169.21,0.01,0.38,44.07,20.99
992.04,72.7,20.08,14.6,5.48,9.2,14.72,1182.2,0.16,0.5,26.3,17.54
990.9,74.4,18.5,13.77,4.74,8.69,13.89,1186.47,1.24,1.63,222.4,16.25
